DELTA ONLYONE NORMtt1 NORMtt2 NORMtt1t2 testdivisor testSUM
0.03214953324408994 1.0 1.0003291753938404 0.036192321232585374 0.013817317650528843 1.00095612422015 1.0000000000000002
0.20909166021727524 1.0 0.9630765709403714 0.29366596163988445 0.07752879126510671 1.0097075660558013 1.0
0.1652779289163705 1.0 0.9532965656721846 0.28652241315950316 0.05423842348348647 0.9946309045159508 1.0000000000000002
0.024115940772080065 1.0 0.999267159162444 0.03465396196358678 0.0018086878180934023 0.9998250892023167 1.0
0.15957701551529385 1.0 0.9949144381639526 0.22558887607792472 0.2269570493486368 1.0189216971312098 1.0
0.5147908812013623 1.0 0.8230202295962806 0.5977041808033599 0.25486341954038394 1.0315306839245229 1.0000000000000002
0.22331141957068043 1.0 0.9368275060903347 0.32746393590783485 0.10446327426557464 0.9912219869364923 0.9999999999999999
0.18294613761359682 1.0 0.9841681637093218 0.19209572787852316 0.039188215201724476 1.0025104764520585 1.0
0.4920665162763545 1.0 0.9382836541582955 0.4000236985966697 0.30736169892714565 1.0173752317134621 1.0
0.20821071357783127 1.0 0.9316763660866486 0.32756608173457247 0.1488445372358001 0.9878947990464564 1.0
0.25343760952571565 1.0 0.8822851566100922 0.4247598256408578 0.2763604860824103 0.9798673870292505 1.0000000000000002
0.005631773982536909 1.0 0.9999899154763238 0.007550835364336542 0.00020954634430711327 1.0000167647782459 0.9999999999999999
0.2472633564620913 1.0 0.9329189911693371 0.3661237699613129 0.024363285018280827 1.0083732104129541 1.0
0.4414191555496019 1.0 0.8378694145670876 0.5193832055739441 0.19008650574834393 1.0014093141604368 1.0
0.00946983533221815 1.0 0.9985922833082501 0.0119303504445584 0.016896979527241784 0.9986635701496364 1.0000000000000002
0.032596596126573674 1.0 1.0013385711736331 0.04789239890527936 0.031294807286092005 1.0023598132320921 0.9999999999999999
0.19718738606069053 1.0 0.9586341866307191 0.2798391114039962 0.017037197122708965 0.9979424935501666 1.0
0.32955138938878475 1.0 0.7944492684383371 0.6020009992803759 0.03627679980415325 1.0012840394889677 1.0
0.11784251534907605 1.0 0.9634386858234539 0.2388200889312958 0.06940654465359579 0.9927412299119729 1.0
0.2531427447168582 1.0 0.9490419185905719 0.3227616228539855 0.03330901022777564 0.9982068582626139 1.0000000000000002
0.40693591517161537 1.0 0.7622019811876287 0.5849082764655498 0.4367112770982862 0.963112548190658 0.9999999999999999
0.2509862221394842 1.0 0.9123220422731033 0.3803569980927791 0.1605283975235516 0.9877549526957256 1.0
0.06327481456552764 1.0 0.9792391292954016 0.16245788646949402 0.04294096202572572 0.9928818621814243 1.0
0.43730734032646384 1.0 0.8440367326940017 0.538170263974705 0.012464936695845018 0.9984901483491965 1.0
0.2810396520063541 1.0 0.9296002384366805 0.352335102836877 0.07948568998710667 0.9957113603365931 1.0
0.6366200419836954 1.0 0.6552986921876146 0.7844064118061999 0.3108833106087891 1.0149477796152568 1.0
0.10209067261088647 1.0 0.9824875249789122 0.14205662417969006 0.0905722507625215 0.9919221962736118 1.0
0.13004084719314757 1.0 0.9629402115991399 0.2870343037469993 0.04256593479986653 1.0041279425600422 1.0
0.06481053291829303 1.0 0.9950472787225387 0.09504881235789005 0.006029445878702331 0.9994403007046538 1.0
0.04454722121852077 1.0 1.0014585196837091 0.04874030530876253 0.040260125620996304 1.0026416362829491 1.0
0.03147920103401716 1.0 0.9960445221578905 0.05636938736160693 0.023958377197224563 0.9977140285620599 0.9999999999999998
0.14933352333882996 1.0 0.9629764570805178 0.2616995336697544 0.0246348245287662 0.99811074759473 1.0
0.036893601540581245 1.0 0.9986212085526593 0.06422323692100837 0.007662468426422054 1.0007190337341922 1.0
0.012422373600184777 1.0 0.998529268357255 0.02482093755765045 0.011812670814767104 0.9988373444520934 1.0
0.11178079248876178 1.0 0.9764347931861105 0.20952704680454515 0.011173488898689188 0.9986238820947579 1.0
0.14394082426619165 1.0 0.9830701435750079 0.2383216064363732 0.11819710182635967 1.0101542730494482 1.0000000000000002
0.3935495773226397 1.0 0.8859030209694998 0.5106841745987183 0.3187301587251105 1.0226503698404037 1.0000000000000002
0.2000290727361775 1.0 0.9785930150397102 0.3334981235907541 0.42011219412373385 1.0316159094146156 1.0
0.0801306619755726 1.0 0.9818999205818929 0.120321096522839 0.11286553949164065 0.9905423455163063 1.0000000000000002
0.21682664351531072 1.0 0.9553523539171997 0.32963832487287 0.1232135376301128 1.0053675969454172 1.0
0.2430662894547279 1.0 0.9413302471731916 0.3581981885058243 0.0972354901686167 1.0032677431522525 0.9999999999999999
0.23927388617756093 1.0 0.947455173425196 0.31840560253330147 0.005552331048358106 1.0018631211987072 1.0
0.18576655414680537 1.0 0.9761270611910223 0.29665545904628604 0.2589797184984739 1.0101767329180733 1.0
0.032112724708642945 1.0 0.9973120410104174 0.049826951420957305 0.016620859528945084 0.9985961121684399 1.0
0.281854770074087 1.0 0.9514509423285213 0.29500330874724506 0.07488412502493809 0.998640468458413 1.0
0.09113521954757532 1.0 0.9729911789245875 0.2598129471531791 0.04222114461602367 1.0072487270429669 1.0
0.47886382669574856 1.0 0.8761341511765016 0.486711997748549 0.04035353412428806 0.9994369972523061 0.9999999999999998
0.03230439198412175 1.0 1.0008393653445655 0.04172185920035204 0.02132990460568817 1.0016494079170242 1.0
0.6757743528523136 1.0 0.7430392809185313 0.7420775868206051 0.7287238127154209 1.0491127212169922 0.9999999999999999
0.0032517497034600423 1.0 0.9997188366810097 0.005531750046725189 0.0024717675724267732 0.9997342690633525 0.9999999999999998
0.3756053322850583 1.0 0.8411958533261698 0.4702844256349808 0.5126248272878094 0.9684483699772494 1.0
0.4401324737336497 1.0 0.7710512149327926 0.647677897141041 0.09465327596037311 1.002047636569227 0.9999999999999999
0.6550933690308537 1.0 0.6704877605358278 0.7476054332180582 0.06531833450865551 1.0042086491956412 1.0
0.5954721195128485 1.0 0.7278506964601056 0.6624860206904168 0.2433114078816381 0.9966863940227357 1.0000000000000002
0.6114190644086408 1.0 0.779106208282465 0.5866282243495482 0.32234750413640123 0.9919895975140581 1.0
0.49281846253334216 1.0 0.8430654564698549 0.5524782325826967 0.12742123331318664 1.0048157869407401 1.0
0.8463249565914037 1.0 0.71671331075022 0.7661222674246958 0.872877343982549 1.05218904211241 1.0
0.06775451654119392 1.0 0.9934857897271686 0.09651925752586946 0.02368850241762027 0.9984766036659122 1.0
0.03385481636897318 1.0 1.0016551405673335 0.050052523032276384 0.041974258855358326 1.0028430977333609 1.0
0.4396731524608224 1.0 0.7553085013191518 0.6836085289576692 0.24088499696824694 1.0052479801630327 1.0
0.11262442474515558 1.0 0.9865158191185303 0.1369641498467915 0.04718503366682172 0.9961920086138789 0.9999999999999999
0.5149565457050432 1.0 0.7729166255996242 0.640442207403615 0.04849327018714465 1.0017550449100678 1.0
0.006697540159051033 1.0 1.000101652022341 0.012528409248293864 0.0014419873634222461 1.0001775332994978 1.0
0.9161760541851615 1.0 0.5373062329606951 0.8759062678822702 0.5597141775863222 1.018459570420057 1.0000000000000002
0.15847386394442436 1.0 0.961978482506913 0.29690844193221305 0.0682115334722294 1.0059768985529691 0.9999999999999998
0.17492326254391763 1.0 0.9608956433228792 0.2977619485326091 0.0734202449654058 1.0047317033591787 1.0
0.23977958995164933 1.0 0.9523387911621851 0.34184123765348184 0.16112220667561533 1.00705506538785 1.0
0.1333937371317848 1.0 0.9908093534947979 0.15472391119107526 0.03907281727695423 1.0020251153543915 1.0
0.06887700447624652 1.0 0.996455634179013 0.10692517167554531 0.021892686817074913 1.002191620901995 1.0
