DELTA ONLYONE NORMtt1 NORMtt2 NORMtt1t2 testdivisor testSUM PAR212 R2121
0.29603740357236114 1.0 0.8962069458607402 0.36066310271641144 0.44868058268711264 0.9712243615886313 1.0 0.44363623633666827 0.40243283583349304
0.23810497053911625 1.0 0.9484446939932176 0.42102822760254666 0.29571283361788653 1.0417629540759055 1.0 0.31694268004816223 0.4439143687228614
0.15731130453928624 1.0 0.9781574011454197 0.1811836563080319 0.06417295494991536 0.9961729973012097 1.0 0.20786557816155715 0.18522955108847136
0.4442129557666875 1.0 0.9102322187901409 0.46726127382633625 0.3251555271194049 1.0213452716580855 1.0 0.4140981862751597 0.5133429296179044
0.3823640592955669 1.0 0.8018326554315061 0.628986088917388 0.21680424724599592 1.0189179077638433 0.9999999999999999 0.5975486529845578 0.7844356109179657
0.01275259505927099 1.0 1.0001554683079739 0.017350868849224325 0.003668622996353266 1.000323768706473 1.0 0.017634080252239212 0.01734817175831462
0.22252732024234917 1.0 0.9586087733158332 0.33639495173869066 0.1771759717057734 1.0150692517496438 1.0000000000000002 0.2847265701017626 0.3509199593230287
0.1771700014371257 1.0 0.9597106616091442 0.2689771066395237 0.039584496312843616 0.9985319057652302 1.0 0.2809901172527938 0.28026895750905856
0.2913649096251998 1.0 0.9250371570285835 0.3785598961254126 0.008226046532331388 0.9995929835090139 1.0 0.3798766353916439 0.4092375027846748
0.060181238873631776 1.0 0.9992526001620249 0.08083443097773625 0.03593452412180285 1.0028443661890576 1.0 0.038655414490499584 0.08089489180676564
0.055510406317080874 1.0 0.994695854575605 0.07359015818258996 0.031121813945373486 0.997301188501492 1.0 0.10285988960769321 0.0739825725060328
0.052798748682669344 1.0 0.9917860009170856 0.06832513604949113 0.08717623494902438 0.9942567650739073 1.0 0.12790828114275749 0.06889100671547307
0.06405204562068338 1.0 1.003321320481129 0.06654118545412044 0.06659808744854917 1.0055388999239243 1.0 0.08157004432999057 0.06632091244927549
0.3435797615899933 1.0 0.8603804802512666 0.5486153186277788 0.15530389058903185 1.0080983556092118 1.0000000000000002 0.5096522630211705 0.637642683929278
