DELTA ONLYONE NORMtt1 NORMtt2 NORMtt1t2 testdivisor testSUM
0.4025629279626423 1.0 0.8459278613322949 0.5429055860261913 0.07743572563309846 1.0136598993885966 1.0
0.1206778558572025 1.0 0.9880116766052438 0.17372017978722976 0.04068730868830362 1.0025334240387729 0.9999999999999999
0.010063252645771563 1.0 1.0007072996700235 0.014014200187938157 0.010201381488912226 1.0008001747782636 1.0
0.78698562071645 1.0 0.7070439798211064 0.7367038039045972 0.3820715766339195 1.0110881608316484 1.0000000000000002
0.560951678497083 1.0 0.7753918583890083 0.6612001692585657 0.31387172519608325 1.0101084609790483 0.9999999999999998
0.024310387453074647 1.0 0.9994673478987719 0.0341438837554604 0.0006387939205516188 1.0000558260819203 1.0
0.5718441058477295 1.0 0.7802039067212795 0.6937104857087865 0.7303666784666748 1.0247690355907402 1.0
0.30056665567266627 1.0 0.9217600662350873 0.3774887086400172 0.054022825701458645 0.9946749318501559 1.0
0.07634461146356011 1.0 0.9951579248242688 0.10100019144656931 0.003439590512648268 1.000298559929203 1.0
0.5009006847730934 1.0 0.7903251688871845 0.6155952519213557 0.028626451316244046 0.9848424771937616 1.0
0.4523792954809888 1.0 0.8782595376676599 0.45435643240067564 0.160274993786692 1.0043950080033188 1.0
0.025522879438170224 1.0 0.9986720241399463 0.03757955936586681 0.007878125342966346 0.9993947054125598 1.0
0.35328698258555835 1.0 0.875778780604917 0.40086151556511046 0.5231303125398693 0.9711499421394391 1.0000000000000002
0.10885642991925956 1.0 0.9960613798380955 0.15366598049163724 0.10017801508273608 1.007936967413842 1.0
0.23600582318904562 1.0 0.9615966835130448 0.29783076038639694 0.08808836177152753 1.006827478673458 1.0
0.10500143647319038 1.0 0.9968232689303032 0.14716573724164467 0.09732351790875594 1.0077822487304788 1.0
0.0018755550852913494 1.0 1.0000546544251674 0.002826634612763405 0.0007430482491116832 1.000058580195786 1.0
0.5099898246269027 1.0 0.8292948822228495 0.6343858194856502 0.688835289046215 1.0197420593736877 0.9999999999999999
0.003495382231789626 1.0 1.0000683033639586 0.0055968454380155176 0.0010637774267142175 1.000083858843467 1.0
0.10984206710469542 1.0 0.985725583311793 0.16506553974417346 0.007059233401463356 0.9999715065549508 1.0
0.06155891687016285 1.0 1.0036065367042664 0.11464585133187064 0.12857564057514786 1.009626153064032 1.0
0.035267620377323776 1.0 0.9978136018268314 0.04862150228216834 0.012722640866148001 0.9990571021938254 1.0
0.1580605896729121 1.0 0.9731846790284198 0.22146266304822285 0.025164502842862313 0.9998348366217391 1.0
0.3818385889787367 1.0 0.9072636393489424 0.398513907455473 0.12609711602675217 0.9893504703461833 1.0000000000000002
0.18270387221849604 1.0 0.9779970222096713 0.2950599272241644 0.2820153400599006 1.0181130355589623 1.0000000000000002
0.0697866183169668 1.0 0.9958306767911458 0.10455943388775372 0.01661216918787521 1.0010752383310617 1.0
0.447604858590194 1.0 0.8679673497574043 0.5059350892954307 0.06815064003819295 1.0223215973437072 0.9999999999999999
0.004194688522996524 1.0 0.9993732719970426 0.006332837520341448 0.0076887300559247 0.9993949383076614 1.0
0.18789619331769566 1.0 0.9730368919016241 0.26772623085935676 0.12029985375473133 1.0068942728784673 1.0
